logical_game_name,alias,normalized_alias,source,confidence
Ace Combat 04: Shattered Skies,Ace Combat 04: Shattered Skies,acecombat04shatteredskies,csv_source,high
Ace Combat 04: Shattered Skies,AC04,ac04,igdb_alias_or_localization,high
Ace Combat 04: Shattered Skies,Ace Combat 4,acecombat4,igdb_alias_or_localization,high
Ace Combat 04: Shattered Skies,Ace Combat: Distant Thunder,acecombatdistantthunder,igdb_alias_or_localization,high
Ace Combat 04: Shattered Skies,エースコンバット04 シャッタードスカイ,エースコンバット04シャッタードスカイ,igdb_alias_or_localization,high
Ace Combat 5: The Unsung War,Ace Combat 5: The Unsung War,acecombat5theunsungwar,csv_source,high
Ace Combat 5: The Unsung War,AC5 ,ac5,igdb_alias_or_localization,high
Ace Combat 5: The Unsung War,Ace Combat: Squadron Leader,acecombatsquadronleader,igdb_alias_or_localization,high
Ace Combat 5: The Unsung War,エースコンバット 5: ジ・アンサング・ウォー,エースコンバット5ジ・アンサング・ウォー,igdb_alias_or_localization,high
Ace Combat 7: Skies Unknown,Ace Combat 7: Skies Unknown,acecombat7skiesunknown,csv_source,high
Ace Combat 7: Skies Unknown,AC7,ac7,igdb_alias_or_localization,high
Ace Combat 7: Skies Unknown,Ace Combat 7,acecombat7,igdb_alias_or_localization,high
Ace Combat 7: Skies Unknown,エースコンバット 7：スカイズ・アンノウン,エースコンバット7スカイズ・アンノウン,igdb_alias_or_localization,high
Ace Combat Zero: The Belkan War,Ace Combat Zero: The Belkan War,acecombatzerothebelkanwar,csv_source,high
Ace Combat Zero: The Belkan War,ACZ,acz,igdb_alias_or_localization,high
Ace Combat Zero: The Belkan War,Ace Combat: The Belkan War,acecombatthebelkanwar,igdb_alias_or_localization,high
Ace Combat Zero: The Belkan War,エースコンバット・ゼロ：ザ・ベルカン・ウォ,エースコンバット・ゼロザ・ベルカン・ウォ,igdb_alias_or_localization,high
Animal Crossing,Animal Crossing,animalcrossing,csv_source,high
Animal Crossing,Animal Crossing Population: Growing,animalcrossingpopulationgrowing,igdb_alias_or_localization,high
Animal Crossing: New Horizons,Animal Crossing: New Horizons,animalcrossingnewhorizons,csv_source,high
Animal Crossing: New Horizons,ACNH,acnh,igdb_alias_or_localization,high
Animal Crossing: New Horizons,Gather Animal Forest,gatheranimalforest,igdb_alias_or_localization,high
Animal Crossing: New Horizons,Atsumare Doubutsu no Mori,atsumaredoubutsunomori,igdb_alias_or_localization,high
Animal Crossing: New Horizons,Moyeobwayo Dongmul-ui Sup,moyeobwayodongmuluisup,igdb_alias_or_localization,high
Animal Crossing: New Horizons,"Get Together, Animal Forest",gettogetheranimalforest,igdb_alias_or_localization,high
Animal Crossing: New Horizons,集合啦！动物森友会,集合啦动物森友会,igdb_alias_or_localization,high
Animal Crossing: New Horizons,集合啦！動物森友會！,集合啦動物森友會,igdb_alias_or_localization,high
Animal Crossing: New Horizons,あつまれ どうぶつの森,あつまれどうぶつの森,igdb_alias_or_localization,high
Animal Crossing: New Leaf,Animal Crossing: New Leaf,animalcrossingnewleaf,csv_source,high
Animal Crossing: New Leaf,Tobidase Doubutsu no Mori,tobidasedoubutsunomori,igdb_alias_or_localization,high
Animal Crossing: New Leaf,ACNL,acnl,igdb_alias_or_localization,high
Animal Crossing: New Leaf,Animal Crossing 3DS,animalcrossing3ds,igdb_alias_or_localization,high
Animal Crossing: New Leaf,Animal Forest: Jump Out,animalforestjumpout,igdb_alias_or_localization,high
Animal Crossing: New Leaf,Twieonawayo Dongmul-ui Sup,twieonawayodongmuluisup,igdb_alias_or_localization,high
Animal Crossing: New Leaf,"Come Out, Animal Forest",comeoutanimalforest,igdb_alias_or_localization,high
Animal Crossing: New Leaf,とびだせ どうぶつの森,とびだせどうぶつの森,igdb_alias_or_localization,high
Arknights,Arknights,arknights,csv_source,high
