logical_game_name,provider,external_id,confidence,notes
Genshin Impact,igdb,119277,high,IGDB正式名・別名の完全一致候補が1件
Xenoblade Chronicles 2,igdb,26766,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Tri,igdb,2268,high,IGDB別名『Monster Hunter 3 (tri-)』『モンスターハンター3』から原作を確定。3 Ultimateとは分離
Ace Combat 04: Shattered Skies,igdb,9763,high,IGDB正式名・別名の完全一致候補が1件
Portal 2,igdb,72,high,IGDB正式名・別名の完全一致候補が1件
Honkai Star Rail,igdb,178282,high,既存game_id=7への追加候補。既存logical game一致。IGDB正式名・別名の完全一致候補が1件
Super Mario Odyssey,igdb,26758,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Generations Ultimate,igdb,25623,high,IGDB正式名・別名の完全一致候補が1件
Ace Combat 5: The Unsung War,igdb,14753,high,IGDB正式名・別名の完全一致候補が1件
Undertale,igdb,12517,high,IGDB正式名・別名の完全一致候補が1件
Zenless Zone Zero,igdb,200551,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy III,igdb,77234,high,1990年FC原作。IGDB 426は北米でFinal Fantasy IIIと呼ばれたFFVIのため除外
Monster Hunter: World,igdb,36926,high,既存game_id=2への追加候補。既存logical game一致。IGDB正式名・別名の完全一致候補が1件
Ace Combat Zero: The Belkan War,igdb,14754,high,IGDB正式名・別名の完全一致候補が1件
Deltarune,igdb,171233,high,IGDB正式名・別名の完全一致候補が1件
Blue Archive,igdb,139391,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda,igdb,1022,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter: World - Iceborne,igdb,113344,high,IGDB正式名・別名の完全一致候補が1件
Ace Combat 7: Skies Unknown,igdb,14758,high,IGDB正式名・別名の完全一致候補が1件
Hollow Knight,igdb,14593,high,IGDB正式名・別名の完全一致候補が1件
Limbus Company,igdb,194106,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Rise,igdb,138950,high,IGDB正式名・別名の完全一致候補が1件
Armored Core VI: Fires of Rubicon,igdb,228542,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Rise: Sunbreak,igdb,172425,high,IGDB正式名・別名の完全一致候補が1件
Celeste,igdb,26226,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda: Majora's Mask,igdb,1030,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Wilds,igdb,279661,high,IGDB正式名・別名の完全一致候補が1件
Metal Gear Solid 2: Sons of Liberty,igdb,376,high,IGDB正式名・別名の完全一致候補が1件
Sound Voltex Nabla,igdb,382474,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda: The Wind Waker,igdb,1033,high,IGDB正式名・別名の完全一致候補が1件
Devil May Cry 3: Dante's Awakening,igdb,136,high,IGDB正式名・別名の完全一致候補が1件
Metal Gear Solid 3: Snake Eater,igdb,379,high,IGDB正式名・別名の完全一致候補が1件
Hades II,igdb,228525,high,IGDB正式名・別名の完全一致候補が1件
Beatmania IIDX,igdb,94920,high,IGDB正式名・別名の完全一致候補が1件
Silent Hill f,igdb,222343,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda: Skyward Sword,igdb,534,high,IGDB正式名・別名の完全一致候補が1件
Ori and the Blind Forest,igdb,7344,high,IGDB正式名・別名の完全一致候補が1件
Taiko no Tatsujin: Niji-iro Version,igdb,319924,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda: Breath of the Wild,igdb,7346,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy XIII,igdb,389,high,IGDB正式名・別名の完全一致候補が1件
Ori and the Will of the Wisps,igdb,37001,high,IGDB正式名・別名の完全一致候補が1件
Hatsune Miku: Colorful Stage!,igdb,139134,high,IGDB別名『Project SEKAI COLORFUL STAGE! feat. Hatsune Miku』と一致
The Legend of Zelda: Tears of the Kingdom,igdb,119388,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy XV,igdb,359,high,IGDB正式名・別名の完全一致候補が1件
The Witcher 3: Wild Hunt,igdb,1942,high,IGDB正式名・別名の完全一致候補が1件
Stardew Valley,igdb,17000,high,IGDB正式名・別名の完全一致候補が1件
Hatsune Miku: Project Diva,igdb,11754,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy XVI,igdb,31551,high,IGDB正式名・別名の完全一致候補が1件
Cyberpunk 2077,igdb,1877,high,IGDB正式名・別名の完全一致候補が1件
Terraria,igdb,1879,high,IGDB正式名・別名の完全一致候補が1件
Kirby Super Star,igdb,3719,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy VII Remake,igdb,11169,high,IGDB正式名・別名の完全一致候補が1件
Red Dead Redemption 2,igdb,25076,high,IGDB正式名・別名の完全一致候補が1件
Minecraft: Java Edition,igdb,121,high,IGDB正式名・別名の完全一致候補が1件
