rank,bgm_title,source_game_title,logical_game_name,existing_game_id,new_game_required,igdb_id,duplicate_status,confidence,notes
6,Liyue,Genshin Impact,Genshin Impact,,true,119277,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
8,You Will Recall Our Names,Xenoblade Chronicles 2,Xenoblade Chronicles 2,,true,26766,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
9,To One with Life,Monster Hunter 3,Monster Hunter Tri,,true,2268,not_duplicate,high,IGDB別名『Monster Hunter 3 (tri-)』『モンスターハンター3』から原作を確定。3 Ultimateとは分離
10,Comona,Ace Combat 04: Shattered Skies,Ace Combat 04: Shattered Skies,,true,9763,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
11,Want You Gone,Portal 2,Portal 2,,true,72,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
12,Take the Journey,Honkai: Star Rail,Honkai Star Rail,7,false,178282,not_duplicate,high,既存logical game一致。IGDB正式名・別名の完全一致候補が1件
13,Fossil Falls,Super Mario Odyssey,Super Mario Odyssey,,true,26758,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
15,Proof of a Hero - MHXX Version,Monster Hunter Generations Ultimate,Monster Hunter Generations Ultimate,,true,25623,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
16,The Unsung War,Ace Combat 5: The Unsung War,Ace Combat 5: The Unsung War,,true,14753,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
17,Heartache,Undertale,Undertale,,true,12517,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
18,Come Alive,Zenless Zone Zero,Zenless Zone Zero,,true,200551,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
20,Eternal Wind,Final Fantasy III,Final Fantasy III,,true,77234,not_duplicate,high,1990年FC原作。IGDB 426は北米でFinal Fantasy IIIと呼ばれたFFVIのため除外
21,Nay! The Honor is All Ours,Monster Hunter: World,Monster Hunter: World,2,false,36926,not_duplicate,high,既存logical game一致。IGDB正式名・別名の完全一致候補が1件
22,The Round Table,Ace Combat Zero: The Belkan War,Ace Combat Zero: The Belkan War,,true,14754,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
23,Rude Buster,Deltarune,Deltarune,,true,171233,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
24,Aoharu,Blue Archive,Blue Archive,,true,139391,distinct_confirmed,high,IGDB正式名・別名の完全一致候補が1件。重複判定: 『RE Aoharu』はAoharuのアレンジ版であり別音源
25,Overworld Theme,The Legend of Zelda,The Legend of Zelda,,true,1022,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
27,The Invading Tyrant / Bazelgeuse,Monster Hunter: World - Iceborne,Monster Hunter: World - Iceborne,,true,113344,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
28,Magic Spear I,Ace Combat 7: Skies Unknown,Ace Combat 7: Skies Unknown,,true,14758,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
29,City of Tears,Hollow Knight,Hollow Knight,,true,14593,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
30,Between Two Worlds,Limbus Company,Limbus Company,,true,194106,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
33,Brave Hunters,Monster Hunter Rise,Monster Hunter Rise,,true,138950,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
34,Rough and Decent,Armored Core VI: Fires of Rubicon,Armored Core VI: Fires of Rubicon,,true,228542,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
38,Terra's Theme,FINAL FANTASY VI,FINAL FANTASY VI,102,false,426,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
39,Scarlet Feast / Malzeno,Monster Hunter Rise: Sunbreak,Monster Hunter Rise: Sunbreak,,true,172425,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
41,First Steps,Celeste,Celeste,,true,26226,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
43,Clock Town,The Legend of Zelda: Majora's Mask,The Legend of Zelda: Majora's Mask,,true,1030,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
45,Main Theme,Monster Hunter Wilds,Monster Hunter Wilds,,true,279661,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
46,Main Theme,Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid 2: Sons of Liberty,,true,376,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
48,Bangin' Burst,SOUND VOLTEX,Sound Voltex Nabla,,true,382474,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
49,Great Sea,The Legend of Zelda: The Wind Waker,The Legend of Zelda: The Wind Waker,,true,1033,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
51,Taste the Blood,Devil May Cry 3: Dante's Awakening,Devil May Cry 3: Dante's Awakening,,true,136,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
52,Way to Fall,Metal Gear Solid 3: Snake Eater,Metal Gear Solid 3: Snake Eater,,true,379,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
53,Coral Crown,Hades II,Hades II,,true,228525,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
54,冥,beatmania IIDX,Beatmania IIDX,,true,94920,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
58,Silent Hill,Silent Hill,Silent Hill f,,true,222343,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
61,Ballad of the Goddess,The Legend of Zelda: Skyward Sword,The Legend of Zelda: Skyward Sword,,true,534,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
65,"Restoring the Light, Facing the Dark",Ori and the Blind Forest,Ori and the Blind Forest,,true,7344,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
66,さいたま2000,Taiko no Tatsujin,Taiko no Tatsujin: Niji-iro Version,,true,319924,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
67,Hyrule Castle,The Legend of Zelda: Breath of the Wild,The Legend of Zelda: Breath of the Wild,,true,7346,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
68,Blinded by Light,Final Fantasy XIII,Final Fantasy XIII,,true,389,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
71,Escaping a Foul Presence,Ori and the Will of the Wisps,Ori and the Will of the Wisps,,true,37001,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
72,Ready Steady,Project SEKAI COLORFUL STAGE!,Hatsune Miku: Colorful Stage!,,true,139134,not_duplicate,high,IGDB別名『Project SEKAI COLORFUL STAGE! feat. Hatsune Miku』と一致
73,Colgera Battle,The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom,,true,119388,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
