rank,bgm_title,source_game_title,logical_game_name,existing_game_id,new_game_required,igdb_id,duplicate_status,confidence,notes,candidate_igdb_ids,candidate_igdb_names,human_check_required
1,地上BGM,Super Mario Bros.,Super Mario Bros.,,true,358,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,222095|360585|358|145179,Super Mario Bros.|Doubutsu no Mori+: Super Mario Bros|Super Mario Bros.|Super Mario Bros.,同名移植候補から原作IDを確認
3,Proof of a Hero,Monster Hunter,Monster Hunter,4,false,384972,not_duplicate,medium,既存logical game一致。同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,384972|352353|69721,Monster Hunter|Monster Hunter|Monster Hunter,同名移植候補から原作IDを確認
4,Serenity,Resident Evil 4,Resident Evil 4,,true,974,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,20065|974|132181|145191|21533,Resident Evil 4|Resident Evil 4|Resident Evil 4|Resident Evil 4|Resident Evil 4: Wii Edition,同名移植候補から原作IDを確認
5,Still Alive,Portal,Portal,,true,14546,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,14546|311949|71,Portal|Portal|Portal,同名移植候補から原作IDを確認
7,Buoy Base Galaxy,Super Mario Galaxy,Super Mario Galaxy,,true,1077,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,229246|1077|328672|191434|366899,Super Mario Galaxy|Super Mario Galaxy|Super Mario Galaxy Star Bit|Super Mario Galaxy|Super Mario Galaxy,同名移植候補から原作IDを確認
19,Rainbow Road,Mario Kart Wii,Mario Kart Wii,,true,2183,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,2183|191437,Mario Kart Wii|Mario Kart Wii,同名移植候補から原作IDを確認
26,Battle 2,Final Fantasy IV,Final Fantasy IV,,true,16587,not_duplicate,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,283313|158983|16587|399|380634|282725|283093|283317|406|387,Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV Advance|Final Fantasy II,同名移植候補から原作IDを確認
31,Hyrule Field,The Legend of Zelda: A Link to the Past,The Legend of Zelda: A Link to the Past,,true,1026,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1026|229416,The Legend of Zelda: A Link to the Past|The Legend of Zelda: A Link to the Past,同名移植候補から原作IDを確認
32,Four Hearts,Final Fantasy V,Final Fantasy V,,true,419,not_duplicate,medium,同名候補6件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,158984|419|146069|288349|400427|20597,Final Fantasy V|Final Fantasy V|Final Fantasy V|Final Fantasy V|Final Fantasy V|Final Fantasy V Advance,同名移植候補から原作IDを確認
35,Lace,Hollow Knight: Silksong,Hollow Knight Silksong,,true,372563,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,372563|115289,Hollow Knight Silksong|Hollow Knight: Silksong,同名移植候補から原作IDを確認
36,Garakuta Doll Play,maimai,Maimai,,true,60813,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,330948|60813,Maimai Plus|Maimai,同名移植候補から原作IDを確認
37,Title Theme,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,,true,1029,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,405460|1029,The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time,同名移植候補から原作IDを確認
40,Encounter,Metal Gear Solid,Metal Gear Solid,,true,375,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,393642|375|5600|233127,Metal Gear Solid|Metal Gear Solid|Metal Gear: Ghost Babel|Metal Gear Solid,同名移植候補から原作IDを確認
42,World Vanquisher,CHUNITHM,Chunithm,,true,56388,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,153805|56388|154229,Chunithm Plus|Chunithm|Chunithm Air Plus,同名移植候補から原作IDを確認
44,Aerith's Theme,Final Fantasy VII,Final Fantasy VII,,true,393025,not_duplicate,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,207028|207026|207021|393025|427|2406|381337|350141|392808|146620,Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII International,同名移植候補から原作IDを確認
47,Good Riddance,Hades,Hades,,true,80529,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,113112|80529,Hades|Hades,同名移植候補から原作IDを確認
