logical_game_name,normalized_name,source_game_title,primary_igdb_id,all_igdb_ids,released,image_url_candidate,confidence,notes
Ace Combat 04: Shattered Skies,acecombat04shatteredskies,Ace Combat 04: Shattered Skies,9763,9763,2001-09-13,https://images.igdb.com/igdb/image/upload/t_cover_big/cobr0u.jpg,high,IGDB正式名・別名の完全一致候補が1件
Ace Combat 5: The Unsung War,acecombat5theunsungwar,Ace Combat 5: The Unsung War,14753,14753,2004-10-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co1osm.jpg,high,IGDB正式名・別名の完全一致候補が1件
Ace Combat 7: Skies Unknown,acecombat7skiesunknown,Ace Combat 7: Skies Unknown,14758,14758,2019-01-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ilk.jpg,high,IGDB正式名・別名の完全一致候補が1件
Ace Combat Zero: The Belkan War,acecombatzerothebelkanwar,Ace Combat Zero: The Belkan War,14754,14754,2006-03-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co6o8z.jpg,high,IGDB正式名・別名の完全一致候補が1件
Animal Crossing,animalcrossing,Animal Crossing,2655,2655,2002-09-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co3wmn.jpg,high,IGDB正式名・別名の完全一致候補が1件
Animal Crossing: New Horizons,animalcrossingnewhorizons,Animal Crossing: New Horizons,109462,109462,2020-03-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co3wls.jpg,high,IGDB正式名・別名の完全一致候補が1件
Animal Crossing: New Leaf,animalcrossingnewleaf,Animal Crossing: New Leaf,2687,2687,2012-11-08,https://images.igdb.com/igdb/image/upload/t_cover_big/cob8m6.jpg,high,IGDB正式名・別名の完全一致候補が1件
Arknights,arknights,Arknights,123395,123395,2019-05-01,https://images.igdb.com/igdb/image/upload/t_cover_big/co4uni.jpg,high,IGDB正式名・別名の完全一致候補が1件
Armored Core VI: Fires of Rubicon,armoredcorevifiresofrubicon,Armored Core VI: Fires of Rubicon,228542,228542,2023-08-24,https://images.igdb.com/igdb/image/upload/t_cover_big/coc408.jpg,high,IGDB正式名・別名の完全一致候補が1件
Armored Core: For Answer,armoredcoreforanswer,Armored Core: For Answer,5493,5493,2008-03-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co6fzn.jpg,high,IGDB正式名・別名の完全一致候補が1件
Armored Core: Verdict Day,armoredcoreverdictday,Armored Core: Verdict Day,5494,5494,2013-09-24,https://images.igdb.com/igdb/image/upload/t_cover_big/co5x33.jpg,high,IGDB正式名・別名の完全一致候補が1件
Astro Bot,astrobot,ASTRO BOT,303811,303811,2024-09-06,https://images.igdb.com/igdb/image/upload/t_cover_big/coba3k.jpg,high,IGDB正式名・別名の完全一致候補が1件
Atelier Ryza 2: Lost Legends & the Secret Fairy,atelierryza2lostlegendsthesecretfairy,Atelier Ryza 2: Lost Legends & the Secret Fairy,136414,136414,2021-01-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co2hbf.jpg,high,IGDB正式名・別名の完全一致候補が1件
Atelier Ryza: Ever Darkness & the Secret Hideout,atelierryzaeverdarknessthesecrethideout,Atelier Ryza: Ever Darkness & the Secret Hideout,119061,119061,2019-09-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co20uc.jpg,high,IGDB正式名・別名の完全一致候補が1件
Atelier Sophie: The Alchemist of the Mysterious Book,ateliersophiethealchemistofthemysteriousbook,Atelier Sophie: The Alchemist of the Mysterious Book,12633,12633,2015-11-19,https://images.igdb.com/igdb/image/upload/t_cover_big/cob8ge.jpg,high,IGDB正式名・別名の完全一致候補が1件
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,atelieryumiathealchemistofmemoriestheenvisionedland,Atelier Yumia: The Alchemist of Memories & the Envisioned Land,314943,314943,2025-03-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co8rja.jpg,high,IGDB正式名・別名の完全一致候補が1件
Baldur's Gate III,baldursgateiii,Baldur's Gate 3,119171,119171,2023-08-03,https://images.igdb.com/igdb/image/upload/t_cover_big/co670h.jpg,high,IGDB正式名・別名の完全一致候補が1件
BanG Dream! Girls Band Party!,bangdreamgirlsbandparty,BanG Dream! Girls Band Party!,80138,80138,2017-03-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co7lau.jpg,high,IGDB正式名・別名の完全一致候補が1件
Beatmania IIDX,beatmaniaiidx,beatmania IIDX,94920,94920,1999-02-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co2ttb.jpg,high,IGDB正式名・別名の完全一致候補が1件
Bloodborne,bloodborne,Bloodborne,7334,7334,2015-03-24,https://images.igdb.com/igdb/image/upload/t_cover_big/cob99l.jpg,high,IGDB正式名・別名の完全一致候補が1件
Blue Archive,bluearchive,Blue Archive,139391,139391,2021-02-04,https://images.igdb.com/igdb/image/upload/t_cover_big/coaat2.jpg,high,IGDB正式名・別名の完全一致候補が1件
Bravely Default,bravelydefault,Bravely Default,4700,4700,2013-12-05,https://images.igdb.com/igdb/image/upload/t_cover_big/co25nj.jpg,high,IGDB正式名・別名の完全一致候補が1件
Bravely Second: End Layer,bravelysecondendlayer,Bravely Second: End Layer,11256,11256,2015-04-23,https://images.igdb.com/igdb/image/upload/t_cover_big/cobcnw.jpg,high,IGDB正式名・別名の完全一致候補が1件
Castlevania III: Dracula's Curse,castlevaniaiiidraculascurse,Castlevania III: Dracula's Curse,1119,1119,1990-09-01,https://images.igdb.com/igdb/image/upload/t_cover_big/coba2s.jpg,high,IGDB正式名・別名の完全一致候補が1件
Castlevania: Aria of Sorrow,castlevaniaariaofsorrow,Castlevania: Aria of Sorrow,1134,1134,2003-05-06,https://images.igdb.com/igdb/image/upload/t_cover_big/cob947.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Castlevania: Symphony of the Night,castlevaniasymphonyofthenight,Castlevania: Symphony of the Night,1128,1128,1997-03-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co53m8.jpg,medium,同名候補6件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
