rank,bgm_title,source_game_title,logical_game_name,existing_game_id,igdb_id,status,confidence,source,reason
1,地上BGM,Super Mario Bros.,Super Mario Bros.,,358,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
2,You Will Know Our Names,Xenoblade Chronicles,,291,,known_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,『名を冠する者たち』の英語ローカライズ名で同一曲
3,Proof of a Hero,Monster Hunter,Monster Hunter,4,384972,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存logical game一致。同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
4,Serenity,Resident Evil 4,Resident Evil 4,,974,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
5,Still Alive,Portal,Portal,,14546,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
6,Liyue,Genshin Impact,Genshin Impact,166,119277,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 213（Liyue）と同一logical game・同一または公式対応タイトル
7,Buoy Base Galaxy,Super Mario Galaxy,Super Mario Galaxy,,1077,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
8,You Will Recall Our Names,Xenoblade Chronicles 2,Xenoblade Chronicles 2,292,26766,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 214（さらに名を冠する者たち）と同一logical game・同一または公式対応タイトル
9,To One with Life,Monster Hunter 3,Monster Hunter Tri,217,2268,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 215（生命ある者へ）と同一logical game・同一または公式対応タイトル
10,Comona,Ace Combat 04: Shattered Skies,Ace Combat 04: Shattered Skies,103,9763,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 216（Comona）と同一logical game・同一または公式対応タイトル
11,Want You Gone,Portal 2,Portal 2,239,72,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 217（Want You Gone）と同一logical game・同一または公式対応タイトル
12,Take the Journey,Honkai: Star Rail,Honkai Star Rail,7,178282,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,既存BGM ID 218（Take the Journey）と同一logical game・同一または公式対応タイトル
13,Fossil Falls,Super Mario Odyssey,Super Mario Odyssey,264,26758,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 219（Fossil Falls）と同一logical game・同一または公式対応タイトル
14,The Weight of Life,Xenoblade Chronicles 3,,293,,known_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,『命を背負って』の英語ローカライズ名で同一曲
15,Proof of a Hero - MHXX Version,Monster Hunter Generations Ultimate,Monster Hunter Generations Ultimate,214,25623,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 220（英雄の証 ～MHXXver.）と同一logical game・同一または公式対応タイトル
16,The Unsung War,Ace Combat 5: The Unsung War,Ace Combat 5: The Unsung War,104,14753,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 221（The Unsung War）と同一logical game・同一または公式対応タイトル
17,Heartache,Undertale,Undertale,289,12517,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 222（Heartache）と同一logical game・同一または公式対応タイトル
18,Come Alive,Zenless Zone Zero,Zenless Zone Zero,303,200551,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 223（Come Alive）と同一logical game・同一または公式対応タイトル
19,Rainbow Road,Mario Kart Wii,Mario Kart Wii,,2183,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
20,Eternal Wind,Final Fantasy III,Final Fantasy III,150,77234,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 224（悠久の風）と同一logical game・同一または公式対応タイトル
21,Nay! The Honor is All Ours,Monster Hunter: World,Monster Hunter: World,2,36926,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 225（否！栄冠は我に在り）と同一logical game・同一または公式対応タイトル
22,The Round Table,Ace Combat Zero: The Belkan War,Ace Combat Zero: The Belkan War,106,14754,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 226（The Round Table）と同一logical game・同一または公式対応タイトル
23,Rude Buster,Deltarune,Deltarune,136,171233,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 227（Rude Buster）と同一logical game・同一または公式対応タイトル
24,Aoharu,Blue Archive,Blue Archive,123,139391,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 228（Aoharu）と同一logical game・同一または公式対応タイトル
25,Overworld Theme,The Legend of Zelda,The Legend of Zelda,279,1022,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 229（地上BGM）と同一logical game・同一または公式対応タイトル
26,Battle 2,Final Fantasy IV,Final Fantasy IV,,16587,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
27,The Invading Tyrant / Bazelgeuse,Monster Hunter: World - Iceborne,Monster Hunter: World - Iceborne,219,113344,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 230（飛来せし気高き非道 ～バゼルギウス）と同一logical game・同一または公式対応タイトル
28,Magic Spear I,Ace Combat 7: Skies Unknown,Ace Combat 7: Skies Unknown,105,14758,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 231（Magic Spear I）と同一logical game・同一または公式対応タイトル
29,City of Tears,Hollow Knight,Hollow Knight,183,14593,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 232（City of Tears）と同一logical game・同一または公式対応タイトル
30,Between Two Worlds,Limbus Company,Limbus Company,199,194106,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 233（Between Two Worlds）と同一logical game・同一または公式対応タイトル
31,Hyrule Field,The Legend of Zelda: A Link to the Past,The Legend of Zelda: A Link to the Past,,1026,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
32,Four Hearts,Final Fantasy V,Final Fantasy V,,419,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補6件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
33,Brave Hunters,Monster Hunter Rise,Monster Hunter Rise,215,138950,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 234（Brave Hunters）と同一logical game・同一または公式対応タイトル
34,Rough and Decent,Armored Core VI: Fires of Rubicon,Armored Core VI: Fires of Rubicon,111,228542,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,既存BGM ID 235（Rough and Decent）と同一logical game・同一または公式対応タイトル
35,Lace,Hollow Knight: Silksong,Hollow Knight Silksong,,372563,needs_review,medium,https://thegameawards.com/nominees/best-score-and-music,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
