rank,bgm_title,source_game_title,logical_game_name,existing_game_id,igdb_id,status,confidence,source,reason,existing_bgm_id,existing_title
2,You Will Know Our Names,Xenoblade Chronicles,,291,,known_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,『名を冠する者たち』の英語ローカライズ名で同一曲,,名を冠する者たち
6,Liyue,Genshin Impact,Genshin Impact,166,119277,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 213（Liyue）と同一logical game・同一または公式対応タイトル,213,Liyue
8,You Will Recall Our Names,Xenoblade Chronicles 2,Xenoblade Chronicles 2,292,26766,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 214（さらに名を冠する者たち）と同一logical game・同一または公式対応タイトル,214,さらに名を冠する者たち
9,To One with Life,Monster Hunter 3,Monster Hunter Tri,217,2268,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 215（生命ある者へ）と同一logical game・同一または公式対応タイトル,215,生命ある者へ
10,Comona,Ace Combat 04: Shattered Skies,Ace Combat 04: Shattered Skies,103,9763,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 216（Comona）と同一logical game・同一または公式対応タイトル,216,Comona
11,Want You Gone,Portal 2,Portal 2,239,72,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 217（Want You Gone）と同一logical game・同一または公式対応タイトル,217,Want You Gone
12,Take the Journey,Honkai: Star Rail,Honkai Star Rail,7,178282,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,既存BGM ID 218（Take the Journey）と同一logical game・同一または公式対応タイトル,218,Take the Journey
13,Fossil Falls,Super Mario Odyssey,Super Mario Odyssey,264,26758,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 219（Fossil Falls）と同一logical game・同一または公式対応タイトル,219,Fossil Falls
14,The Weight of Life,Xenoblade Chronicles 3,,293,,known_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,『命を背負って』の英語ローカライズ名で同一曲,,命を背負って
15,Proof of a Hero - MHXX Version,Monster Hunter Generations Ultimate,Monster Hunter Generations Ultimate,214,25623,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 220（英雄の証 ～MHXXver.）と同一logical game・同一または公式対応タイトル,220,英雄の証 ～MHXXver.
16,The Unsung War,Ace Combat 5: The Unsung War,Ace Combat 5: The Unsung War,104,14753,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 221（The Unsung War）と同一logical game・同一または公式対応タイトル,221,The Unsung War
17,Heartache,Undertale,Undertale,289,12517,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 222（Heartache）と同一logical game・同一または公式対応タイトル,222,Heartache
18,Come Alive,Zenless Zone Zero,Zenless Zone Zero,303,200551,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 223（Come Alive）と同一logical game・同一または公式対応タイトル,223,Come Alive
20,Eternal Wind,Final Fantasy III,Final Fantasy III,150,77234,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 224（悠久の風）と同一logical game・同一または公式対応タイトル,224,悠久の風
21,Nay! The Honor is All Ours,Monster Hunter: World,Monster Hunter: World,2,36926,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 225（否！栄冠は我に在り）と同一logical game・同一または公式対応タイトル,225,否！栄冠は我に在り
22,The Round Table,Ace Combat Zero: The Belkan War,Ace Combat Zero: The Belkan War,106,14754,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 226（The Round Table）と同一logical game・同一または公式対応タイトル,226,The Round Table
23,Rude Buster,Deltarune,Deltarune,136,171233,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 227（Rude Buster）と同一logical game・同一または公式対応タイトル,227,Rude Buster
24,Aoharu,Blue Archive,Blue Archive,123,139391,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 228（Aoharu）と同一logical game・同一または公式対応タイトル,228,Aoharu
25,Overworld Theme,The Legend of Zelda,The Legend of Zelda,279,1022,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 229（地上BGM）と同一logical game・同一または公式対応タイトル,229,地上BGM
27,The Invading Tyrant / Bazelgeuse,Monster Hunter: World - Iceborne,Monster Hunter: World - Iceborne,219,113344,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 230（飛来せし気高き非道 ～バゼルギウス）と同一logical game・同一または公式対応タイトル,230,飛来せし気高き非道 ～バゼルギウス
28,Magic Spear I,Ace Combat 7: Skies Unknown,Ace Combat 7: Skies Unknown,105,14758,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 231（Magic Spear I）と同一logical game・同一または公式対応タイトル,231,Magic Spear I
29,City of Tears,Hollow Knight,Hollow Knight,183,14593,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 232（City of Tears）と同一logical game・同一または公式対応タイトル,232,City of Tears
30,Between Two Worlds,Limbus Company,Limbus Company,199,194106,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 233（Between Two Worlds）と同一logical game・同一または公式対応タイトル,233,Between Two Worlds
33,Brave Hunters,Monster Hunter Rise,Monster Hunter Rise,215,138950,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 234（Brave Hunters）と同一logical game・同一または公式対応タイトル,234,Brave Hunters
34,Rough and Decent,Armored Core VI: Fires of Rubicon,Armored Core VI: Fires of Rubicon,111,228542,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,既存BGM ID 235（Rough and Decent）と同一logical game・同一または公式対応タイトル,235,Rough and Decent
38,Terra's Theme,FINAL FANTASY VI,FINAL FANTASY VI,102,426,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 236（ティナのテーマ）と同一logical game・同一または公式対応タイトル,236,ティナのテーマ
39,Scarlet Feast / Malzeno,Monster Hunter Rise: Sunbreak,Monster Hunter Rise: Sunbreak,216,172425,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 237（朱に染むる夜宴／メル・ゼナ）と同一logical game・同一または公式対応タイトル,237,朱に染むる夜宴／メル・ゼナ
41,First Steps,Celeste,Celeste,127,26226,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 238（First Steps）と同一logical game・同一または公式対応タイトル,238,First Steps
43,Clock Town,The Legend of Zelda: Majora's Mask,The Legend of Zelda: Majora's Mask,281,1030,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 239（クロックタウン）と同一logical game・同一または公式対応タイトル,239,クロックタウン
45,Main Theme,Monster Hunter Wilds,Monster Hunter Wilds,218,279661,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 240（Main Theme）と同一logical game・同一または公式対応タイトル,240,Main Theme
46,Main Theme,Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid 2: Sons of Liberty,205,376,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 241（Main Theme）と同一logical game・同一または公式対応タイトル,241,Main Theme
48,Bangin' Burst,SOUND VOLTEX,Sound Voltex Nabla,257,382474,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 242（Bangin' Burst）と同一logical game・同一または公式対応タイトル,242,Bangin' Burst
49,Great Sea,The Legend of Zelda: The Wind Waker,The Legend of Zelda: The Wind Waker,284,1033,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 243（大海原）と同一logical game・同一または公式対応タイトル,243,大海原
51,Taste the Blood,Devil May Cry 3: Dante's Awakening,Devil May Cry 3: Dante's Awakening,137,136,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 244（Taste the Blood）と同一logical game・同一または公式対応タイトル,244,Taste the Blood
52,Way to Fall,Metal Gear Solid 3: Snake Eater,Metal Gear Solid 3: Snake Eater,206,379,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 245（Way to Fall）と同一logical game・同一または公式対応タイトル,245,Way to Fall
53,Coral Crown,Hades II,Hades II,175,228525,existing_duplicate,high,https://thegameawards.com/nominees/best-score-and-music,既存BGM ID 246（Coral Crown）と同一logical game・同一または公式対応タイトル,246,Coral Crown
54,冥,beatmania IIDX,Beatmania IIDX,121,94920,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 247（冥）と同一logical game・同一または公式対応タイトル,247,冥
58,Silent Hill,Silent Hill,Silent Hill f,253,222343,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 248（Silent Hill）と同一logical game・同一または公式対応タイトル,248,Silent Hill
61,Ballad of the Goddess,The Legend of Zelda: Skyward Sword,The Legend of Zelda: Skyward Sword,282,534,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 249（女神の詩）と同一logical game・同一または公式対応タイトル,249,女神の詩
65,"Restoring the Light, Facing the Dark",Ori and the Blind Forest,Ori and the Blind Forest,227,7344,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,"既存BGM ID 250（Restoring the Light, Facing the Dark）と同一logical game・同一または公式対応タイトル",250,"Restoring the Light, Facing the Dark"
66,さいたま2000,Taiko no Tatsujin,Taiko no Tatsujin: Niji-iro Version,267,319924,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 251（さいたま2000）と同一logical game・同一または公式対応タイトル,251,さいたま2000
67,Hyrule Castle,The Legend of Zelda: Breath of the Wild,The Legend of Zelda: Breath of the Wild,280,7346,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 252（ハイラル城）と同一logical game・同一または公式対応タイトル,252,ハイラル城
68,Blinded by Light,Final Fantasy XIII,Final Fantasy XIII,154,389,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 253（閃光）と同一logical game・同一または公式対応タイトル,253,閃光
71,Escaping a Foul Presence,Ori and the Will of the Wisps,Ori and the Will of the Wisps,228,37001,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 254（Escaping a Foul Presence）と同一logical game・同一または公式対応タイトル,254,Escaping a Foul Presence
72,Ready Steady,Project SEKAI COLORFUL STAGE!,Hatsune Miku: Colorful Stage!,180,139134,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 255（Ready Steady）と同一logical game・同一または公式対応タイトル,255,Ready Steady
73,Colgera Battle,The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom,283,119388,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 256（フリザゲイラ戦）と同一logical game・同一または公式対応タイトル,256,フリザゲイラ戦
74,Somnus,Final Fantasy XV,Final Fantasy XV,156,359,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 257（Somnus）と同一logical game・同一または公式対応タイトル,257,Somnus
