confirmed_title,original_candidate_title,logical_game,japanese_game_name,english_game_name,igdb_id,source_url,source_url_verified,new_game_required,existing_game_collision,cover_available,cover_url,alias_candidates,external_id,confidence,final_import_allowed,notes
Serenity,Serenity,Resident Evil 4,バイオハザード4,Resident Evil 4,974,https://music.apple.com/jp/album/serenity/1329345078?i=1329345088&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2wk8.jpg,Resident Evil 4 | バイオハザード4 | BIOHAZARD 4 | RE4,igdb:974,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
バトル2,Battle 2,Final Fantasy IV,ファイナルファンタジーIV,Final Fantasy IV,16587,https://www.jp.square-enix.com/music/lineup/item/SEMO-00004.html,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co31c0.jpg,Final Fantasy IV | ファイナルファンタジーIV | FF4 | FFIV,igdb:16587,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
4つの心,Four Hearts,Final Fantasy V,ファイナルファンタジーV,Final Fantasy V,419,https://www.jp.square-enix.com/music/lineup/item/SEMO-00005-6.html,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co9p6d.jpg,Final Fantasy V | ファイナルファンタジーV | FF5 | FFV,igdb:419,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Lace,Lace,Hollow Knight Silksong,Hollow Knight: Silksong,Hollow Knight: Silksong,115289,https://music.apple.com/jp/album/lace/1838949732?i=1838950274&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/cobebu.jpg,Hollow Knight Silksong | Silksong | ホロウナイト シルクソング,igdb:115289,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Garakuta Doll Play,Garakuta Doll Play,Maimai,maimai,maimai,60813,https://music.apple.com/jp/album/garakuta-doll-play/690452775?i=690452828&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co30q9.jpg,Maimai,igdb:60813,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
エアリスのテーマ,Aerith's Theme,Final Fantasy VII,ファイナルファンタジーVII,Final Fantasy VII,393025,https://www.jp.square-enix.com/music/lineup/item/SQEX-10001-4.html,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/cobny6.jpg,Final Fantasy VII | ファイナルファンタジーVII | FF7 | FFVII,igdb:393025,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Liberi Fatali,Liberi Fatali,Final Fantasy VIII,ファイナルファンタジーVIII,Final Fantasy VIII,425,https://music.apple.com/jp/album/liberi-fatali/62443271?i=62442431&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2z7d.jpg,Final Fantasy VIII | ファイナルファンタジーVIII | FF8 | FFVIII,igdb:425,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Melodies Of Life～Final Fantasy,Melodies of Life,Final Fantasy IX,ファイナルファンタジーIX,Final Fantasy IX,421,https://www.jp.square-enix.com/music/lineup/item/SQEX-10009-12.html,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2unc.jpg,Final Fantasy IX | ファイナルファンタジーIX | FF9 | FFIX,igdb:421,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Die House,Die House,Cuphead,Cuphead,Cuphead,9061,https://music.apple.com/jp/album/die-house/1305353572?i=1305353581&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co62ao.jpg,Cuphead,igdb:9061,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Evans,Evans,Jubeat,jubeat,jubeat,79960,https://music.apple.com/jp/album/evans/325295989?i=325296020&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/coadj7.jpg,Jubeat,igdb:79960,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Otherworld,Otherworld,Final Fantasy X,ファイナルファンタジーX,Final Fantasy X,418,https://music.apple.com/jp/album/otherworld/62445727?i=62444699&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tr1.jpg,Final Fantasy X | ファイナルファンタジーX | FF10 | FFX,igdb:418,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Theme of Laura,Theme of Laura,Silent Hill 2,SILENT HILL 2,Silent Hill 2,481,https://music.apple.com/jp/album/theme-of-laura/528515992?i=528515994&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2vyg.jpg,Silent Hill 2,igdb:481,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Dragonborn,Dragonborn,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,472,https://music.apple.com/jp/album/dragonborn/1849547039?i=1849547040&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/cocs1l.jpg,The Elder Scrolls V: Skyrim | Skyrim | TES5,igdb:472,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
