candidate_title,confirmed_title,candidate_game,decision,existing_bgm_id,existing_title,new_import,logical_game_name,game_id,igdb_id,reason,source_url,confidence
Serenity,Serenity,Resident Evil 4,import_ready,,,true,Resident Evil 4,,974,日本向け公式配信・公式OST「バイオハザード4 サウンドコレクション」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 974 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/serenity/1329345078?i=1329345088&uo=4,high
Battle 2,バトル2,Final Fantasy IV,import_ready,,,true,Final Fantasy IV,,16587,日本向け公式配信・公式OST「ファイナルファンタジーIV オリジナル・サウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 16587 を版区分まで照合。新規logical game作成が必要。,https://www.jp.square-enix.com/music/lineup/item/SEMO-00004.html,high
Four Hearts,4つの心,Final Fantasy V,import_ready,,,true,Final Fantasy V,,419,日本向け公式配信・公式OST「ファイナルファンタジーV オリジナル・サウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 419 を版区分まで照合。新規logical game作成が必要。,https://www.jp.square-enix.com/music/lineup/item/SEMO-00005-6.html,high
Lace,Lace,Hollow Knight: Silksong,import_ready,,,true,Hollow Knight Silksong,,115289,日本向け公式配信・公式OST「Hollow Knight: Silksong (Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 115289 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/lace/1838949732?i=1838950274&uo=4,high
Garakuta Doll Play,Garakuta Doll Play,maimai,import_ready,,,true,Maimai,,60813,日本向け公式配信・公式OST「maimai SEGA Sounds Vol.5 -GreeNはじめました~!パック-」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 60813 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/garakuta-doll-play/690452775?i=690452828&uo=4,high
Aerith's Theme,エアリスのテーマ,Final Fantasy VII,import_ready,,,true,Final Fantasy VII,,393025,日本向け公式配信・公式OST「ファイナルファンタジーVII オリジナル・サウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 393025 を版区分まで照合。新規logical game作成が必要。,https://www.jp.square-enix.com/music/lineup/item/SQEX-10001-4.html,high
Liberi Fatali,Liberi Fatali,Final Fantasy VIII,import_ready,,,true,Final Fantasy VIII,,425,日本向け公式配信・公式OST「FINAL FANTASY VIII (Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 425 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/liberi-fatali/62443271?i=62442431&uo=4,high
Melodies of Life,Melodies Of Life～Final Fantasy,Final Fantasy IX,import_ready,,,true,Final Fantasy IX,,421,日本向け公式配信・公式OST「ファイナルファンタジーIX オリジナル・サウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 421 を版区分まで照合。新規logical game作成が必要。,https://www.jp.square-enix.com/music/lineup/item/SQEX-10009-12.html,high
Die House,Die House,Cuphead,import_ready,,,true,Cuphead,,9061,日本向け公式配信・公式OST「Cuphead (Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 9061 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/die-house/1305353572?i=1305353581&uo=4,high
Evans,Evans,jubeat,import_ready,,,true,Jubeat,,79960,日本向け公式配信・公式OST「jubeat ORIGINAL SOUNDTRACK」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 79960 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/evans/325295989?i=325296020&uo=4,high
Otherworld,Otherworld,Final Fantasy X,import_ready,,,true,Final Fantasy X,,418,日本向け公式配信・公式OST「FINAL FANTASY X Original Soundtrack」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 418 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/otherworld/62445727?i=62444699&uo=4,high
Theme of Laura,Theme of Laura,Silent Hill 2,import_ready,,,true,Silent Hill 2,,481,日本向け公式配信・公式OST「SILENT HILL 2(Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 481 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/theme-of-laura/528515992?i=528515994&uo=4,high
Dragonborn,Dragonborn,The Elder Scrolls V: Skyrim,import_ready,,,true,The Elder Scrolls V: Skyrim,,472,日本向け公式配信・公式OST「The Elder Scrolls V: Skyrim (Original Game Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 472 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/dragonborn/1849547039?i=1849547040&uo=4,high
Let's Get It On,Let's Get It On,Street Fighter III: 3rd Strike,import_ready,,,true,Street Fighter III: 3rd Strike,,6710,日本向け公式配信・公式OST「ストリートファイターIII サードストライク オリジナル・サウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 6710 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/lets-get-it-on/1086829691?i=1086829761&uo=4,high
Sonic Boom,Sonic Boom,Sonic CD,import_ready,,,true,Sonic CD,,5452,日本向け公式配信・公式OST「Sonic the Hedgehog CD (Original Soundtrack 20th Anniversary Edition)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 5452 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/sonic-boom/481138176?i=481138465&uo=4,high
Oshama Scramble!,Oshama Scramble!,maimai,import_ready,,,true,Maimai,,60813,日本向け公式配信・公式OST「maimai ALL PERFECT COLLECTiON 3」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 60813 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/oshama-scramble/1633656142?i=1633656800&uo=4,high
Rooftop Run - Day,Rooftop Run - Day,Sonic Unleashed,import_ready,,,true,Sonic Unleashed,,5169,"日本向け公式配信・公式OST「SONIC UNLEASHED ORIGINAL SOUNDTRACK PLANETARY PIECES, Vol. 2」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 5169 を版区分まで照合。新規logical game作成が必要。",https://music.apple.com/jp/album/rooftop-run-day/571273814?i=571273929&uo=4,high
