rank,bgm_title,source_game_title,logical_game_name,existing_game_id,igdb_id,status,confidence,source,reason
1,地上BGM,Super Mario Bros.,Super Mario Bros.,,358,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
3,Proof of a Hero,Monster Hunter,Monster Hunter,4,384972,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存logical game一致。同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
4,Serenity,Resident Evil 4,Resident Evil 4,,974,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
5,Still Alive,Portal,Portal,,14546,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
7,Buoy Base Galaxy,Super Mario Galaxy,Super Mario Galaxy,,1077,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
19,Rainbow Road,Mario Kart Wii,Mario Kart Wii,,2183,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
26,Battle 2,Final Fantasy IV,Final Fantasy IV,,16587,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
31,Hyrule Field,The Legend of Zelda: A Link to the Past,The Legend of Zelda: A Link to the Past,,1026,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
32,Four Hearts,Final Fantasy V,Final Fantasy V,,419,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補6件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
35,Lace,Hollow Knight: Silksong,Hollow Knight Silksong,,372563,needs_review,medium,https://thegameawards.com/nominees/best-score-and-music,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
36,Garakuta Doll Play,maimai,Maimai,,60813,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
37,Title Theme,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,,1029,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
40,Encounter,Metal Gear Solid,Metal Gear Solid,,375,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
42,World Vanquisher,CHUNITHM,Chunithm,,56388,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
44,Aerith's Theme,Final Fantasy VII,Final Fantasy VII,,393025,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
47,Good Riddance,Hades,Hades,,80529,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
50,Liberi Fatali,Final Fantasy VIII,Final Fantasy VIII,,425,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
55,Midna's Lament,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,,134014,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
56,Melodies of Life,Final Fantasy IX,Final Fantasy IX,,421,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
