logical_game_name,alias,normalized_alias,source,existing_game_id,insert_needed,collision_status
Cuphead,Cuphead,cuphead,IGDB/official-title review,305,true,none
Disco Elysium,Disco Elysium,discoelysium,IGDB/official-title review,306,true,none
Disco Elysium,ディスコ エリジウム,ディスコエリジウム,IGDB/official-title review,306,true,none
Final Fantasy IV,Final Fantasy IV,finalfantasyiv,IGDB/official-title review,307,true,none
Final Fantasy IV,ファイナルファンタジーIV,ファイナルファンタジーiv,IGDB/official-title review,307,true,none
Final Fantasy IV,FF4,ff4,IGDB/official-title review,307,true,none
Final Fantasy IV,FFIV,ffiv,IGDB/official-title review,307,true,none
Final Fantasy IX,Final Fantasy IX,finalfantasyix,IGDB/official-title review,308,true,none
Final Fantasy IX,ファイナルファンタジーIX,ファイナルファンタジーix,IGDB/official-title review,308,true,none
Final Fantasy IX,FF9,ff9,IGDB/official-title review,308,true,none
Final Fantasy IX,FFIX,ffix,IGDB/official-title review,308,true,none
Final Fantasy V,Final Fantasy V,finalfantasyv,IGDB/official-title review,309,true,none
Final Fantasy V,ファイナルファンタジーV,ファイナルファンタジーv,IGDB/official-title review,309,true,none
Final Fantasy V,FF5,ff5,IGDB/official-title review,309,true,none
Final Fantasy V,FFV,ffv,IGDB/official-title review,309,true,none
Final Fantasy VII,Final Fantasy VII,finalfantasyvii,IGDB/official-title review,310,true,none
Final Fantasy VII,ファイナルファンタジーVII,ファイナルファンタジーvii,IGDB/official-title review,310,true,none
Final Fantasy VII,FF7,ff7,IGDB/official-title review,310,true,none
Final Fantasy VII,FFVII,ffvii,IGDB/official-title review,310,true,none
Final Fantasy VIII,Final Fantasy VIII,finalfantasyviii,IGDB/official-title review,311,true,none
Final Fantasy VIII,ファイナルファンタジーVIII,ファイナルファンタジーviii,IGDB/official-title review,311,true,none
Final Fantasy VIII,FF8,ff8,IGDB/official-title review,311,true,none
Final Fantasy VIII,FFVIII,ffviii,IGDB/official-title review,311,true,none
Final Fantasy X,Final Fantasy X,finalfantasyx,IGDB/official-title review,312,true,none
Final Fantasy X,ファイナルファンタジーX,ファイナルファンタジーx,IGDB/official-title review,312,true,none
Final Fantasy X,FF10,ff10,IGDB/official-title review,312,true,none
Final Fantasy X,FFX,ffx,IGDB/official-title review,312,true,none
Hades,Hades,hades,IGDB/official-title review,313,true,none
Hollow Knight Silksong,Hollow Knight Silksong,hollowknightsilksong,IGDB/official-title review,314,true,none
Hollow Knight Silksong,Silksong,silksong,IGDB/official-title review,314,true,none
Hollow Knight Silksong,ホロウナイト シルクソング,ホロウナイトシルクソング,IGDB/official-title review,314,true,none
Jet Set Radio,Jet Set Radio,jetsetradio,IGDB/official-title review,315,true,none
Jet Set Radio,ジェットセットラジオ,ジェットセットラジオ,IGDB/official-title review,315,true,none
Jet Set Radio,JSR,jsr,IGDB/official-title review,315,true,none
Jubeat,Jubeat,jubeat,IGDB/official-title review,316,true,none
Live A Live,Live A Live,livealive,IGDB/official-title review,317,true,none
Live A Live,ライブ・ア・ライブ,ライブ・ア・ライブ,IGDB/official-title review,317,true,none
Maimai,Maimai,maimai,IGDB/official-title review,318,true,none
Mass Effect,Mass Effect,masseffect,IGDB/official-title review,319,true,none
Mass Effect,ME1,me1,IGDB/official-title review,319,true,none
Mass Effect 2,Mass Effect 2,masseffect2,IGDB/official-title review,320,true,none
Mass Effect 2,ME2,me2,IGDB/official-title review,320,true,none
Metal Gear Solid,Metal Gear Solid,metalgearsolid,IGDB/official-title review,321,true,none
Metal Gear Solid,メタルギアソリッド,メタルギアソリッド,IGDB/official-title review,321,true,none
