logical_game_name,provider,external_id,igdb_name,existing_game_id,insert_needed,collision_status
Cuphead,igdb,9061,Cuphead,305,false,none
Disco Elysium,igdb,26472,Disco Elysium,306,false,none
Final Fantasy IV,igdb,16587,Final Fantasy IV,307,false,none
Final Fantasy IX,igdb,421,Final Fantasy IX,308,false,none
Final Fantasy V,igdb,419,Final Fantasy V,309,false,none
Final Fantasy VII,igdb,393025,Final Fantasy VII,310,false,none
Final Fantasy VIII,igdb,425,Final Fantasy VIII,311,false,none
Final Fantasy X,igdb,418,Final Fantasy X,312,false,none
Hades,igdb,113112,Hades,313,false,none
Hollow Knight Silksong,igdb,115289,Hollow Knight: Silksong,314,false,none
Jet Set Radio,igdb,398453,Jet Set Radio,315,false,none
Jubeat,igdb,79960,Jubeat,316,false,none
Live A Live,igdb,15835,Live A Live,317,false,none
Maimai,igdb,60813,Maimai,318,false,none
Mass Effect,igdb,73,Mass Effect,319,false,none
Mass Effect 2,igdb,74,Mass Effect 2,320,false,none
Metal Gear Solid,igdb,375,Metal Gear Solid,321,false,none
Nights Into Dreams...,igdb,5075,Nights Into Dreams...,322,false,none
Resident Evil 2,igdb,880,Resident Evil 2,323,false,none
Resident Evil 4,igdb,974,Resident Evil 4,324,false,none
Romancing SaGa 3,igdb,11313,Romancing SaGa 3,325,false,none
Silent Hill 2,igdb,481,Silent Hill 2,326,false,none
Silent Hill 3,igdb,482,Silent Hill 3,327,false,none
Sonic CD,igdb,5452,Sonic CD,328,false,none
Sonic Unleashed,igdb,5169,Sonic Unleashed,329,false,none
Street Fighter III: 3rd Strike,igdb,6710,Street Fighter III: 3rd Strike,330,false,none
Tales of Symphonia,igdb,1204,Tales of Symphonia,331,false,none
Tales of Vesperia,igdb,1209,Tales of Vesperia,332,false,none
Tales of the Abyss,igdb,1207,Tales of the Abyss,333,false,none
Tekken 5,igdb,393526,Tekken 5,334,false,none
The Elder Scrolls V: Skyrim,igdb,472,The Elder Scrolls V: Skyrim,335,false,none
