logical_game_name,normalized_name,japanese_name,english_name,primary_igdb_id,igdb_name,released,image_url,game_type,existing_game_id,insert_needed,collision_status,confidence,notes
Cuphead,cuphead,Cuphead,Cuphead,9061,Cuphead,2017-09-29,https://images.igdb.com/igdb/image/upload/t_cover_big/co62ao.jpg,Main Game,305,false,none,high,IGDB確定IDを再取得済み
Disco Elysium,discoelysium,ディスコ エリジウム,Disco Elysium,26472,Disco Elysium,2019-10-15,https://images.igdb.com/igdb/image/upload/t_cover_big/co1sfj.jpg,Main Game,306,false,none,high,IGDB確定IDを再取得済み
Final Fantasy IV,finalfantasyiv,ファイナルファンタジーIV,Final Fantasy IV,16587,Final Fantasy IV,1991-07-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co31c0.jpg,Main Game,307,false,none,high,IGDB確定IDを再取得済み
Final Fantasy IX,finalfantasyix,ファイナルファンタジーIX,Final Fantasy IX,421,Final Fantasy IX,2000-07-07,https://images.igdb.com/igdb/image/upload/t_cover_big/co2unc.jpg,Main Game,308,false,none,high,IGDB確定IDを再取得済み
Final Fantasy V,finalfantasyv,ファイナルファンタジーV,Final Fantasy V,419,Final Fantasy V,1992-12-06,https://images.igdb.com/igdb/image/upload/t_cover_big/co9p6d.jpg,Main Game,309,false,none,high,IGDB確定IDを再取得済み
Final Fantasy VII,finalfantasyvii,ファイナルファンタジーVII,Final Fantasy VII,393025,Final Fantasy VII,1997-01-31,https://images.igdb.com/igdb/image/upload/t_cover_big/cobny6.jpg,Main Game,310,false,none,high,IGDB確定IDを再取得済み
Final Fantasy VIII,finalfantasyviii,ファイナルファンタジーVIII,Final Fantasy VIII,425,Final Fantasy VIII,1999-02-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co2z7d.jpg,Main Game,311,false,none,high,IGDB確定IDを再取得済み
Final Fantasy X,finalfantasyx,ファイナルファンタジーX,Final Fantasy X,418,Final Fantasy X,2001-07-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tr1.jpg,Main Game,312,false,none,high,IGDB確定IDを再取得済み
Hades,hades,HADES,Hades,113112,Hades,2020-09-17,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9kr.jpg,Main Game,313,false,none,high,IGDB確定IDを再取得済み
Hollow Knight Silksong,hollowknightsilksong,Hollow Knight: Silksong,Hollow Knight: Silksong,115289,Hollow Knight: Silksong,2025-09-04,https://images.igdb.com/igdb/image/upload/t_cover_big/cobebu.jpg,Main Game,314,false,none,high,IGDB確定IDを再取得済み
Jet Set Radio,jetsetradio,ジェットセットラジオ,Jet Set Radio,398453,Jet Set Radio,2000-06-29,https://images.igdb.com/igdb/image/upload/t_cover_big/cobxjl.jpg,Main Game,315,false,none,high,IGDB確定IDを再取得済み
Jubeat,jubeat,jubeat,jubeat,79960,Jubeat,2008-07-24,https://images.igdb.com/igdb/image/upload/t_cover_big/coadj7.jpg,Main Game,316,false,none,high,IGDB確定IDを再取得済み
Live A Live,livealive,ライブ・ア・ライブ,Live A Live,15835,Live A Live,1994-09-02,https://images.igdb.com/igdb/image/upload/t_cover_big/co2ywe.jpg,Main Game,317,false,none,high,IGDB確定IDを再取得済み
Maimai,maimai,maimai,maimai,60813,Maimai,2012-07-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co30q9.jpg,Main Game,318,false,none,high,IGDB確定IDを再取得済み
Mass Effect,masseffect,Mass Effect,Mass Effect,73,Mass Effect,2007-11-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co1x7o.jpg,Main Game,319,false,none,high,IGDB確定IDを再取得済み
Mass Effect 2,masseffect2,Mass Effect 2,Mass Effect 2,74,Mass Effect 2,2010-01-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co20ac.jpg,Main Game,320,false,none,high,IGDB確定IDを再取得済み
Metal Gear Solid,metalgearsolid,メタルギアソリッド,Metal Gear Solid,375,Metal Gear Solid,1998-09-03,https://images.igdb.com/igdb/image/upload/t_cover_big/cobpak.jpg,Main Game,321,false,none,high,IGDB確定IDを再取得済み
Nights Into Dreams...,nightsintodreams,NiGHTS into dreams...,Nights Into Dreams...,5075,Nights Into Dreams...,1996-07-05,https://images.igdb.com/igdb/image/upload/t_cover_big/co2n17.jpg,Main Game,322,false,none,high,IGDB確定IDを再取得済み
Resident Evil 2,residentevil2,バイオハザード2,Resident Evil 2,880,Resident Evil 2,1998-01-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co2vz0.jpg,Main Game,323,false,none,high,IGDB確定IDを再取得済み
Resident Evil 4,residentevil4,バイオハザード4,Resident Evil 4,974,Resident Evil 4,2005-01-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co2wk8.jpg,Main Game,324,false,none,high,IGDB確定IDを再取得済み
Romancing SaGa 3,romancingsaga3,ロマンシング サ・ガ3,Romancing SaGa 3,11313,Romancing SaGa 3,1995-11-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co2x8k.jpg,Main Game,325,false,none,high,IGDB確定IDを再取得済み
Silent Hill 2,silenthill2,SILENT HILL 2,Silent Hill 2,481,Silent Hill 2,2001-09-24,https://images.igdb.com/igdb/image/upload/t_cover_big/co2vyg.jpg,Main Game,326,false,none,high,IGDB確定IDを再取得済み
Silent Hill 3,silenthill3,SILENT HILL 3,Silent Hill 3,482,Silent Hill 3,2003-05-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co3kol.jpg,Main Game,327,false,none,high,IGDB確定IDを再取得済み
Sonic CD,soniccd,ソニック・ザ・ヘッジホッグCD,Sonic CD,5452,Sonic CD,1993-09-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co53t2.jpg,Main Game,328,false,none,high,IGDB確定IDを再取得済み
