candidate_title,confirmed_title,candidate_game,decision,existing_bgm_id,existing_title,new_import,logical_game_name,game_id,igdb_id,reason,source_url,confidence
地上BGM,地上BGM,Super Mario Bros.,still_needs_review,,,false,Super Mario Bros.,,358,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Proof of a Hero,Proof of a Hero,Monster Hunter,still_needs_review,,,false,Monster Hunter,4,384972,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Still Alive,Still Alive,Portal,still_needs_review,,,false,Portal,,14546,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Buoy Base Galaxy,Buoy Base Galaxy,Super Mario Galaxy,still_needs_review,,,false,Super Mario Galaxy,,1077,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Rainbow Road,Rainbow Road,Mario Kart Wii,still_needs_review,,,false,Mario Kart Wii,,2183,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Hyrule Field,Hyrule Field,The Legend of Zelda: A Link to the Past,still_needs_review,,,false,The Legend of Zelda: A Link to the Past,,1026,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Title Theme,Title Theme,The Legend of Zelda: Ocarina of Time,still_needs_review,,,false,The Legend of Zelda: Ocarina of Time,,1029,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Encounter,Encounter,Metal Gear Solid,still_needs_review,,,false,Metal Gear Solid,,375,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
World Vanquisher,World Vanquisher,CHUNITHM,still_needs_review,,,false,Chunithm,,56388,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Good Riddance,Good Riddance,Hades,still_needs_review,,,false,Hades,,80529,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Midna's Lament,Midna's Lament,The Legend of Zelda: Twilight Princess,still_needs_review,,,false,The Legend of Zelda: Twilight Princess,,134014,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Subhuman,Subhuman,Devil May Cry 5,still_needs_review,,,false,DmC: Devil May Cry,,1254,曲の公式配信は確認できるが、候補のlogical gameが別作品DmCへ誤対応しているため保留。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Metal Man Stage,Metal Man Stage,Mega Man 2,still_needs_review,,,false,Mega Man 2,,1715,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Storm Eagle Stage,Storm Eagle Stage,Mega Man X,still_needs_review,,,false,Mega Man X,,1741,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Ryu's Theme,Ryu's Theme,Street Fighter II,still_needs_review,,,false,Street Fighter II,,3186,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
