bgm_id,game_title,current_title,proposed_title,confidence,source,reason
214,Xenoblade Chronicles 2,You Will Recall Our Names,さらに名を冠する者たち,high,https://www.procyon-studio.co.jp/special/xenoblade2/,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
224,Final Fantasy III,Eternal Wind,悠久の風,high,https://www.jp.square-enix.com/music/lineup/item/SEMO-00003.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
230,Monster Hunter: World - Iceborne,The Invading Tyrant / Bazelgeuse,飛来せし気高き非道 ～バゼルギウス,high,https://classical.music.apple.com/jp/album/1336356191,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
236,FINAL FANTASY VI,Terra's Theme,ティナのテーマ,high,https://www.jp.square-enix.com/music/sem/page/FF30th_BDM/tracklist/,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
237,Monster Hunter Rise: Sunbreak,Scarlet Feast / Malzeno,朱に染むる夜宴／メル・ゼナ,high,https://music.apple.com/jp/song/1644289178,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
253,Final Fantasy XIII,Blinded by Light,閃光,high,https://www.jp.square-enix.com/music/lineup/item/SQEX-10183-86.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
294,Nier Replicant,Song of the Ancients / Devola,イニシエノウタ／デボル,high,https://www.jp.square-enix.com/music/lineup/item/SQEX-10189-90.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
298,NieR: Automata,City Ruins - Rays of Light,遺サレタ場所／斜光,high,https://www.jp.square-enix.com/music/lineup/item/SQEX-10614-7.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
307,Octopath Traveler,Battle at Journey's End,旅路の果てに立ちはだかる者,high,https://www.jp.square-enix.com/music/sem/page/octopathtravelerarr_2/,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
313,Octopath Traveler II,Critical Clash II,決戦2,high,https://www.jp.square-enix.com/music/sem/page/octopathtravelerarr_2/,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
