bgm_id,game_title,current_title,proposed_title,confidence,source,reason
3,ARK: Survival Evolved,-Battle Theme- Beach Day,-Battle Theme- Beach Day,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。 既存共有セットで参照中のBGM IDなので、IDは維持する。
25,Blue Archive,RE Aoharu,RE Aoharu,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。 既存共有セットで参照中のBGM IDなので、IDは維持する。
29,Blue Reflection,OVERDOSE,OVERDOSE,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
32,Limbus Company,Hero,Hero,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
36,Undertale,Hopes and Dreams,Hopes and Dreams,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
38,Undertale,MEGALOVANIA,MEGALOVANIA,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
39,Donkey Kong Country 2: Diddy's Kong Quest,Stickerbush Symphony,Stickerbush Symphony,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
54,Super Mario Odyssey,"Jump Up, Super Star!","Jump Up, Super Star!",high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
57,Mario Kart 8 Deluxe,Big Blue,Big Blue,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
67,Kirby's Return to Dream Land,CROWNED,CROWNED,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
